name,category,currentStock,minStock,maxStock,unit,costPerUnit,supplierId
Coffee Beans,Beverages,25,10,50,kg,12.50,
Milk,Dairy,15,5,30,l,2.80,
Sugar,Pantry,8,3,20,kg,1.20,
Flour,Pantry,12,5,25,kg,2.10,
Eggs,Dairy,60,20,100,pcs,0.35,
Butter,Dairy,8,3,15,kg,8.50,
Bread,Bakery,20,8,40,pcs,2.50,
Cheese,Dairy,5,2,10,kg,12.00,
Tomatoes,Produce,10,4,20,kg,3.50,
Lettuce,Produce,8,3,15,kg,4.20,
Chicken,Meat,6,2,12,kg,15.00,
Ground Beef,Meat,4,2,8,kg,18.50,
Rice,Pantry,15,5,30,kg,3.80,
Pasta,Pantry,10,4,20,kg,2.90,
Olive Oil,Pantry,8,3,15,l,12.00,
Tea Bags,Beverages,200,50,400,pcs,0.15,
Honey,Pantry,3,1,6,kg,8.50,
Vanilla Extract,Pantry,2,1,4,l,25.00,
Cinnamon,Pantry,1,0.5,2,kg,15.00,
Paper Cups,Paper Goods,500,100,1000,pcs,0.08,
Napkins,Paper Goods,200,50,400,pcs,0.05,
Dish Soap,Cleaning,5,2,10,l,3.50,
Trash Bags,Cleaning,100,25,200,pcs,0.20 